instnm,Applicants total (ADM2015),
DeVry University-North Carolina,15,
DeVry University-Ohio,195,
DeVry University-Oklahoma,12,
DeVry University-Oregon,1,
DeVry University-Pennsylvania,51,
DeVry University-Tennessee,17,
DeVry University-Texas,64,
DeVry University-Virginia,20,
DeVry University-Washington,2,
DeVry University-Wisconsin,1,
Dickinson College,6031,
Dickinson State University,347,
DigiPen Institute of Technology,773,
Dillard University,4615,
Diman Regional Technical Institute,44,
Divine Word College,23,
DLP Conemaugh Memorial Medical Center,42,
Doane University-Arts & Sciences,1892,
Dominican College of Blauvelt,1959,
Dominican University,4161,
Dominican University of California,2178,
Dordt College,1342,
Drake University,6514,
Drew University,3025,
Drexel University,28757,
Drury University,1076,
duCret School of Arts,12,
Duke University,31220,
Dunwoody College of Technology,433,
Duquesne University,7354,
Dutchess BOCES-Practical Nursing Program,50,
Earlham College,2549,
East Carolina University,16871,
East Central University,2398,
East Stroudsburg University of Pennsylvania,5982,
East Tennessee State University,8253,
East Texas Baptist University,1457,
Eastern Connecticut State University,5370,
Eastern Illinois University,9103,
Eastern Kentucky University,10215,
Eastern Mennonite University,1656,
Eastern Michigan University,14236,
Eastern Nazarene College,1129,
Eastern New Mexico University-Main Campus,2382,
Eastern Oregon University,994,
Eastern Suffolk BOCES,105,
Eastern University,2941,
Eastern Virginia Career College,164,
Eastern Washington University,5166,
Eastwick College-Hackensack,336,
Eastwick College-Nutley,404,
Eastwick College-Ramsey,107,
Ecclesia College,213,
Eckerd College,4402,
ECPI University,4176,
Edgewood College,1160,
EDIC College,822,
Edinboro University of Pennsylvania,3509,
EDP University of Puerto Rico Inc-San Juan,342,
Edward Waters College,3353,
Elizabeth City State University,1531,
Elizabethtown College,3453,
Elmhurst College,3620,
Elmira College,2387,
Elon University,10256,
Embry-Riddle Aeronautical University-Daytona Beach,4580,
Embry-Riddle Aeronautical University-Prescott,1908,
Embry-Riddle Aeronautical University-Worldwide,942,
Emerson College,8618,
Emmanuel College,5692,
Emmanuel College,1591,
Emmaus Bible College,432,
Emory & Henry College,1456,
Emory University,20492,
Emory University-Oxford College,9734,
Emporia State University,1736,
Endicott College,4005,
Erskine College,991,
Escuela de Artes Plasticas y Diseno de Puerto Rico,123,
Eureka College,1225,
Evangel University,1484,
Everglades University,231,
Fairfield University,10767,
Fairleigh Dickinson University-Florham Campus,4559,
Fairleigh Dickinson University-Metropolitan Campus,4491,
Fairmont State University,3019,
Faith Baptist Bible College and Theological Seminary,137,
Faith Theological Seminary,25,
Family of Faith Christian University,5,
Farmingdale State College,5256,
Fashion Institute of Technology,4753,
Faulkner University,1712,
Fayetteville State University,3943,
Felician University,1763,
Ferris State University,10297,
Ferrum College,3020,
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,1419,
FIDM-Fashion Institute of Design & Merchandising-Orange County,164,
FIDM-Fashion Institute of Design & Merchandising-San Diego,154,
FIDM-Fashion Institute of Design & Merchandising-San Francisco,227,
Finger Lakes Health College of Nursing,8,
Finlandia University,1456,
Fisher College,2669,
Fisk University,3004,
Fitchburg State University,3998,
Five Towns College,395,
Flagler College-St Augustine,5260,
Flint Institute of Barbering Inc,29,
Florida Agricultural and Mechanical University,5832,
Florida Atlantic University,15847,
Florida College,297,
Florida Gulf Coast University,13608,
Florida Institute of Technology,9303,
Florida International Training Institute,25,
Florida International University,21442,
Florida Memorial University,5101,
Florida Polytechnic University,1812,
Florida School of Traditional Midwifery,26,
Florida Southern College,6190,
Florida State University,29828,
Fontbonne University,494,
Fordham University,42811,
Fort Hays State University,2337,
Fort Lewis College,3105,
Fort Valley State University,4925,
Fox College,102,
Framingham State University,4803,
Francis Marion University,3681,
Franciscan University of Steubenville,1738,
Franklin and Marshall College,7146,
Franklin College,2023,
Franklin Pierce University,3740,
Franklin W Olin College of Engineering,1075,
Freed-Hardeman University,981,
Fresno Pacific University,518,
Friends University,730,
Frostburg State University,3913,
Furman University,5143,
Gallaudet University,407,
Gannon University,4213,
Gardner-Webb University,3866,
